Parcela;n;Especie;dap
10;590;Duranta vestita Cham.;5,220282133
10;591;Celtis iguanaea (Jacq.) Sarg.;9,549296586
10;592;Celtis iguanaea (Jacq.) Sarg.;7,512113314
10;593;Myrsine umbellata Mart.;15,3743675
10;594;Rhamnus sphaerosperma Sw.;5,315775099
10;595;Myrceugenia oxysepala (Burret) D.Legrand & Kausel;5,888732894
10;597;Podocarpus lambertii Klotzsch ex Endl.;18,01633956
10;598;Jacaranda puberula Cham.;12,41408556
10;599;Myrsine umbellata Mart.;7,575775291
10;601;Calyptranthes concinna DC.;6,525352667
10;602;Calyptranthes concinna DC.;5,599540471
10;603;Calyptranthes concinna DC.;11,87504935
10;604;Casearia decandra Jacq.;17,41155077
10;605;Dasyphyllum spinescens (Less.) Cabrera;25,40112892
10;606;Myrcia guianensis (Aubl.) DC.;11,87295875
10;607;Coutarea hexandra (Jacq.) K.Schum.;4,997465213
10;608;Sapium glandulosum (L.) Morong;10,82253613
10;609;Drimys brasiliensis Miers;5,315775099
11;610;Araucaria angustifolia (Bertol.) Kuntze;11,04535305
11;611;Banara tomentosa Clos;8,371550007
11;612;Lithraea brasiliensis Marchand;13,8072394
11;613;Ocotea pulchella Mart.;22,91831181
11;614;Casearia decandra Jacq.;11,33183195
11;615;Myrsine coriacea (Sw.) Roem. & Schult.;17,12507188
11;616;Casearia decandra Jacq.;10,9180291
11;617;Lithraea brasiliensis Marchand;5,729577951
11;618;Ilex theezans Mart. ex Reissek;12,79605742
11;619;Ilex theezans Mart. ex Reissek;6,525352667
11;622;Calyptranthes concinna DC.;6,079718826
11;623;Dasyphyllum tomentosum (Spreng.) Cabrera;16,4884521
11;624;Lithraea brasiliensis Marchand;8,05324012
11;625;Araucaria angustifolia (Bertol.) Kuntze;32,84958025
11;626;Ilex theezans Mart. ex Reissek;6,334366735
11;627;Lithraea brasiliensis Marchand;24,17785177
11;628;Myrcia laruotteana Cambess.;5,092958179
11;629;Myrcia palustris DC.;6,46169069
11;630;Calyptranthes concinna DC.;9,356469905
11;631;Gochnatia polymorpha (Less.) Cabrera;24,15972036
11;632;Ilex theezans Mart. ex Reissek;6,175211792
11;633;Araucaria angustifolia (Bertol.) Kuntze;47,68282095
11;634;Araucaria angustifolia (Bertol.) Kuntze;13,71915609
11;635;Myrciaria;6,102507767
11;636;Dasyphyllum tomentosum (Spreng.) Cabrera;11,7456348
11;637;Araucaria angustifolia (Bertol.) Kuntze;25,14648101
11;638;Sapium glandulosum (L.) Morong;17,02957891
11;639;Lithraea brasiliensis Marchand;21,16552515
11;640;Casearia decandra Jacq.;10,02676141
11;641;Matayba elaeagnoides Radlk.;6,429859701
11;642;Sapium glandulosum (L.) Morong;6,111549815
11;643;Lithraea brasiliensis Marchand;23,90507245
11;644;Lithraea brasiliensis Marchand;26,92990055
11;645;Casearia decandra Jacq.;8,689859893
11;646;Calyptranthes concinna DC.;7,604209328
11;647;Myrcia palustris DC.;6,811831564
11;648;Xylosma ciliatifolia (Clos) Eichler;5,602253997
11;649;Araucaria angustifolia (Bertol.) Kuntze;4,074366543
11;650;Myrsine coriacea (Sw.) Roem. & Schult.;6,047887837
